Member Phone No,ActSpeedDS,ActSpeedUS,ActAvgDaySpontResyncs,ActDSLStability,ActDSLConnType,DSLAMName,LWC,Urbanistion,UBAForecast,EstAttn160Hi,EstAttn160Lo,EstDSSpeedHi,EstDSSpeedLo,EstUSSpeedHi,EstUSSpeedLo,EUBA,BUBA,WVS,LAPRestriction,CabnietisationDate,CabnetisationName,Locality Id,Connector Id,Line_Sharing_Cable_Pair,LWC_Is_Cabinet,BUBA_Coverage_Area,EUBA_Coverage_Area,Baseband_Copper_Capable,ActBBProductType
,,,,,,,,,,,,,,,,,,,,,,,AE11/1,,Y,Marlborough / North Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP73/23,,N,Marlborough / North Canterbury,RANGIORA,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BB81/2,,Y,Banks,RICCARTON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL50/255,,,West Coast,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CP72/7,,N,Northland,KERIKERI,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FR79/3,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM35/530,,,,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DH64/3,,Y,Banks,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FB80/H,,N,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AA26/A,,Y,South Canterbury,ASHBURTON,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DU25/1,,Y,West Coast,HOKITIKA,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,D30/17,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,ZU31/4,,Y,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GS03/6,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GN79/1,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,I14/16,,N,West Coast,WESTPORT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HE04/1,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,L17/17,,N,Marlborough / North Canterbury,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FU54/7,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HG13/9,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DL78/6,,N,Banks,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BY32/2,,N,Banks,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GB07/15,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FC68/2,,N,Christchurch North,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GB10/2,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,G23/5,,N,Banks,ROLLESTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HS15/14,,Y,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,M19/10,,N,Marlborough / North Canterbury,RANGIORA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,B31/3,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,X31/14,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K11/7,,Y,West Coast,GREYMOUTH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BU15/2,,N,Banks,ROLLESTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,J51/6,,N,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AD16/16,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,J51/4,,N,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM29/527,,N,Banks,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FQ69/7,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP70/805,,Y,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HH12/7,,Y,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,U36/11,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HR15/12,,Y,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AU43/9,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FA61/1,,Y,Christchurch North,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GH01/7,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GH76/17,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FM74/2,,Y,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AS37/7,,Y,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FR71/25,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL50/172,,N,South Canterbury,ASHBURTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,Y30/13,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,X20/21,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HU16/14,,N,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FJ75/5,,N,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HK67/4,,Y,Marlborough / North Canterbury,KAIKOURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL99/18,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FQ70/2,,Y,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HU23/4,,Y,South Canterbury,ASHBURTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL47/78,,N,Christchurch North,CHRISTCHURCH,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,Y19/4,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HT10/6,,Y,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GQ64/2,,Y,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AA23/1,,Y,South Canterbury,ASHBURTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL53/840,,Y,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GA08/5,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,ET71/4,,Y,Christchurch North,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AN50/8,,N,South Canterbury,TEMUKA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AV44/1,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FM60/10,,Y,Christchurch North,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GK04/1,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,E47/9,,N,Christchurch North,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FU09/3,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,V37/5,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EJ77/C,,Y,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM26/197,,N,South Canterbury,TEMUKA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,W26/15,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FV70/27,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GB72/28,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GC71/4,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL05/789,,N,Grafton,REMUERA,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DL76/7,,N,Banks,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FR05/1,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,ET38/18,,Y,Tamaki,REMUERA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AW45/15,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HV08/2,,Y,South Canterbury,TIMARU,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL13/458,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FK12/1,,Y,Marlborough / North Canterbury,RANGIORA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FR69/2,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FU05/2,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FU80/12,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FN75/18,,Y,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FN75/9,,Y,Banks,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FT72/26,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HA02/5,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EP71/4,,Y,Christchurch North,RICCARTON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL68/415,,N,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,ES07/7,,Y,Banks,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL13/505,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM19/704,,N,Auckland Central,MAYORAL DRIVE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP30/467,,,Bay of Plenty/ East Coast,ROTORUA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HU53/5,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K26/A,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,E23/23,,N,Bay of Plenty/ East Coast,WHAKATANE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL47/931,,N,Nelson,NELSON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AK46/8,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL13/751,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AP43/B,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AR47/ZA,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AM50/5,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AK47/8,,Y,Nelson,NELSON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HR58/6,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,N28/3,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HU60/7,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BJ32/1,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AE56/10,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AR47/12,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DR38/2,,Y,Marlborough / North Canterbury,BLENHEIM,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BC41/1,,,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AA57/15,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AD56/11,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HU54/1,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AQ48/12,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AQ48/12,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AL47/14,,Y,Nelson,NELSON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AR46/J,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL61/200,,N,Marlborough / North Canterbury,BLENHEIM,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,U40/6,,Y,Marlborough / North Canterbury,BLENHEIM,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AC57/3,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,N26/6,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AE56/1,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL86/885,,Y,Nelson,NELSON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BC41/7,,,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DV37/10,,N,Marlborough / North Canterbury,BLENHEIM,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,V39/2,,Y,Marlborough / North Canterbury,BLENHEIM,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AU45/4,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HU53/3,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HV58/20,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,10-May,,N,Nelson,NELSON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL86/907,,N,Nelson,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TP56/476,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,3-Jan,,Y,Nelson,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,H31/4,,N,Nelson,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,Y12/11,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HB80/5,,Y,Marlborough / North Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K14/9,,N,Southland,GORE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,11D5/5,,N,Southland,GORE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL07/956,,Y,Southland,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K29/1,,N,Southland,INVERCARGILL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K28/PM,,N,Southland,INVERCARGILL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,J28/8,,N,Southland,INVERCARGILL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K32/20,,Y,Southland,INVERCARGILL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,J29/W,,N,Southland,INVERCARGILL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DQ74/3,,N,Southland,INVERCARGILL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FK54/3,,Y,Southland,GORE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,K15/25,,N,Southland,GORE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,N10/4,,Y,Southland,GORE,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,N10/4,,Y,Southland,GORE,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,Q12/9,,Y,Southland,GORE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AG09/4,,Y,Christchurch Central,CHRISTCHURCH,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GC78/N,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GG07/5,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GC78/N,,N,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HR58/13,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL51/995,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AR44/6,,N,Nelson,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CL69/2,,Y,Banks,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HQ64/15,,N,Southland,QUEENSTOWN,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GJ78/15,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AT22/3,,Y,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,M19/1,,Y,Southland,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DL63/4,,Y,Banks,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,11D5/5,,N,Southland,GORE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HK64/4,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DJ78/7,,N,Banks,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HP63/4,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL34/596,,Y,Banks,RICCARTON,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FJ06/2,,Y,Marlborough / North Canterbury,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DH78/9,,N,Banks,,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GN34/3,,Y,South Canterbury,WANAKA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HR61/B,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EV33/1,,Y,Banks,,,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AQ47/4,,N,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HR61/B,,Y,Nelson,NELSON,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD64/32,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL74/423,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FE58/80,,N,Otago,DUNEDIN CENT,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GQ35/11,,Y,South Canterbury,WANAKA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FJ75/1,,Y,Marlborough / North Canterbury,,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GG39/2,,N,West Coast,HOKITIKA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HH20/S,,N,Hawkes Bay,NAPIER,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,AK54/10,,Y,Nelson,NELSON,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FL01/3,,N,Banks,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HC79/3,,Y,Christchurch Central,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL78/401,,Y,Tauranga,TAURANGA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL78/401,,Y,Tauranga,TAURANGA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GG69/1,,,Tauranga,MT MAUNGANUI,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DN79/1,,N,Southland,INVERCARGILL,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HD59/4,,Y,Christchurch North,CHRISTCHURCH,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FN37/1,,Y,Tamaki,HOWICK,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FN38/2,,N,Tamaki,HOWICK,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FQ70/21,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BY86/3,,Y,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BT87/11,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FQ51/C,,Y,Eastern Suburbs,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DV57/5,,N,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FA45/1,,Y,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FD45/11,,Y,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,ES48/9,,N,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DM21A/S,,N,Auckland Central,MAYORAL DRIVE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FE57/L,,N,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EQ58/1,,Y,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,BG63/1,,Y,Counties,PAPAKURA,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FK61/4,,Y,South Auckland,PAPATOETOE,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HA19/4,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EM66/1,,Y,South Auckland,PAPATOETOE,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,HC09/1,,Y,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GE80/F,,Y,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CB91/8,,Y,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,V95/8,,Y,Eastern Suburbs,HOWICK,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GL20/634,,Y,Eastern Suburbs,HOWICK,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,GF39/4,,N,Eastern Suburbs,HOWICK,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM11/403,,Y,Eastern Suburbs,HOWICK,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FG60/1,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CS59/5,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EP88/12,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EP88/12,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,FT46/8,,N,Counties,PAPAKURA,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL40/882,,Y,Counties,PAPAKURA,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL26/253,,Y,North Shore,GLENFIELD,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL31/808,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DT15/9,,Y,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TM28/153,,Y,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EE15/11,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,EC16/11,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DP07/5,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,TL11/166,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DR05/14,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DQ79/19,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DA59/1,,Y,North Auckland,TORBAY,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DG55/6,,Y,North Auckland,TORBAY,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DM79/22,,Y,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DL56/4,,Y,North Auckland,TORBAY,N,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DM03/4,,N,North Shore,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DJ57/1,,Y,North Auckland,TORBAY,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DA13/2,,N,Hobsonville,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CT10/46,,N,Hobsonville,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DA13/7,,N,Hobsonville,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DE12/3,,Y,Hobsonville,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CM11/2,,Y,Hobsonville,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CV12/6,,N,Hobsonville,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,CL01/4,,Y,East Coast Bays,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DA78/3,,Y,East Coast Bays,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DC79/1,,Y,East Coast Bays,GLENFIELD,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,YL59/11,,Y,East Coast Bays,TORBAY,Y,BUBA
,,,,,,,,,,,,,,,,,,,,,,,DB71/A,,Y,East Coast Bays,TORBAY,Y,BUBA
